x,y,z,id,pre1,pre2,pre3,pre4,pre5,pre6,pre7,pre8
13,100,0,13,3.4830847303115e-07,6.6798995012478e-07,2.8973759480148e-07,1.6950181808243e-07,1.1163578659142e-07,1.3933321923275e-08,5.2224012505016e-09,6.5078956356582e-10
14,100,0,14,3.6461405967259e-07,7.060788143665e-07,3.0789952097116e-07,1.815600882534e-07,1.1939932999634e-07,1.486724728714e-08,5.5630424360089e-09,6.9271243525902e-10
15,100,0,15,3.7985089547301e-07,7.4229171543698e-07,3.2537775043994e-07,1.935585620452e-07,1.2716079138513e-07,1.5800193582326e-08,5.9027487397847e-09,7.3448031946981e-10
16,100,0,16,3.9409875452429e-07,7.7665434549901e-07,3.4214799359522e-07,2.0547423367956e-07,1.3491144815877e-07,1.6731555265084e-08,6.2413879078358e-09,7.7608127291247e-10
17,100,0,17,4.074340848882e-07,8.0920776282302e-07,3.5819512412296e-07,2.1728482072442e-07,1.4264292520374e-07,1.7660734433473e-08,6.5788274422761e-09,8.1750325059117e-10
18,100,0,18,4.1992890060705e-07,8.4000484437784e-07,3.7351220823305e-07,2.2896863564896e-07,1.503472025739e-07,1.8587145233522e-08,6.9149357596595e-09,8.5873420102176e-10
19,100,0,19,4.3165003737705e-07,8.6910688697216e-07,3.8809936130203e-07,2.405044610439e-07,1.580165648262e-07,1.9510212683502e-08,7.2495819978783e-09,8.9976206031631e-10
20,100,0,20,4.4265891443071e-07,8.9658090798682e-07,4.0196270346331e-07,2.5187155012014e-07,1.6564357434326e-07,2.0429373837584e-08,7.5826364105698e-09,9.4057478925768e-10
21,100,0,21,4.5301154882475e-07,9.2249736656105e-07,4.1511333430429e-07,2.6304967486027e-07,1.7322103437494e-07,2.1344077701917e-08,7.9139704496184e-09,9.8116038562035e-10
22,100,0,22,4.6275877739122e-07,9.4692836757012e-07,4.275663967658e-07,2.7401923143732e-07,1.8074195909861e-07,2.2253785571942e-08,8.2434569608197e-09,1.0215069046195e-09
23,100,0,23,4.7194658723518e-07,9.699462476104e-07,4.3934022501831e-07,2.8476137412476e-07,1.8819954424722e-07,2.3157971060968e-08,8.5709702998069e-09,1.061602472526e-09
24,100,0,24,4.806165103227e-07,9.9162250655083e-07,4.5045559339184e-07,2.9525816784836e-07,1.9558714218578e-07,2.405612018041e-08,8.896386461803e-09,1.1014353009975e-09
25,100,0,25,4.8880603929174e-07,1.0120270195083e-06,4.6093506389742e-07,3.0549274376097e-07,2.0289824043156e-07,2.4947731330468e-08,9.2195831850865e-09,1.1409936989631e-09
26,100,0,26,4.9654904077904e-07,1.0312274810138e-06,4.7080243085005e-07,3.1544944806603e-07,2.1012644465678e-07,2.5832315283694e-08,9.5404400493947e-09,1.1802660838614e-09
27,100,0,27,5.0387614915843e-07,1.0492890329832e-06,4.8008225525522e-07,3.251139752054e-07,2.1726546615048e-07,2.6709395137208e-08,9.8588385615743e-09,1.219240991638e-09
28,100,0,28,5.1081513165331e-07,1.0662740369768e-06,4.8879948081332e-07,3.3447347962898e-07,2.2430911405034e-07,2.7578506253823e-08,1.0174662233731e-08,1.2579070859767e-09
29,100,0,29,5.173912200129e-07,1.0822419565136e-06,4.969791219941e-07,3.4351666225315e-07,2.3125129233973e-07,2.8439196188718e-08,1.0487796652799e-08,1.2962531666975e-09
30,100,0,30,5.2362740741235e-07,1.0972493217353e-06,5.0464601472368e-07,3.5223382978722e-07,2.3808600156509e-07,2.9291024606668e-08,1.079812954309e-08,1.3342681774731e-09
31,100,0,31,5.2954471121819e-07,1.1113497539189e-06,5.1182462050642e-07,3.6061692664915e-07,2.4480734505359e-07,3.0133563189363e-08,1.1105550821945e-08,1.3719412128891e-09
32,100,0,32,5.3516240357927e-07,1.12459403213e-06,5.1853887554622e-07,3.6865954049042e-07,2.5140953929824e-07,3.0966395534045e-08,1.1409952649113e-08,1.4092615249091e-09
