x,y,z,id,pre1,pre2,pre3,pre4,pre5,pre6,pre7,pre8
100,16,0,16,3.041348513498e-07,5.7180003543231e-07,2.541563839472e-07,1.6773459416827e-07,1.1869830035815e-07,1.5569612328305e-08,6.0024511462118e-09,7.5665023081545e-10
100,17,0,17,3.1495719908978e-07,5.9538455848821e-07,2.6535407965036e-07,1.7652293864987e-07,1.2496069635782e-07,1.6390605162434e-08,6.3190387444032e-09,7.9656490133272e-10
100,18,0,18,3.2517701847721e-07,6.1791330008031e-07,2.7609070471965e-07,1.8521466580987e-07,1.3118838561444e-07,1.7207274735093e-08,6.6339758251076e-09,8.362722448693e-10
100,19,0,19,3.3485150133245e-07,6.3943913249417e-07,2.8637732942092e-07,1.9379705652596e-07,1.3737908665405e-07,1.8019443114504e-08,6.9471997460844e-09,8.7576448571108e-10
100,20,0,20,3.4403271449475e-07,6.6001651681094e-07,2.9622803134076e-07,2.0225745949997e-07,1.4353037882063e-07,1.8826928378188e-08,7.2586471413514e-09,9.150337754255e-10
100,21,0,21,3.5276758472694e-07,6.7969996822959e-07,3.0565894828182e-07,2.1058349914163e-07,1.4963970691133e-07,1.9629544945667e-08,7.5682540385106e-09,9.5407220703534e-10
100,22,0,22,3.6109811121149e-07,6.9854295789664e-07,3.146875280904e-07,2.1876326605411e-07,1.5570438665865e-07,2.0427103911883e-08,7.8759559629856e-09,9.9287182732165e-10
100,23,0,23,3.690616942611e-07,7.1659713519501e-07,3.2333193575032e-07,2.2678548112995e-07,1.6172160977303e-07,2.121941332874e-08,8.1816880297454e-09,1.0314246476941e-09
100,24,0,24,3.766915246054e-07,7.3391181017526e-07,3.3161059614104e-07,2.3463963270756e-07,1.6768844969352e-07,2.2006278470736e-08,8.4853850261896e-09,1.0697226538944e-09
100,25,0,25,3.8401699003575e-07,7.505336315928e-07,3.3954184629428e-07,2.4231608467076e-07,1.7360186804189e-07,2.2787502074599e-08,8.7869814874118e-09,1.1077578147819e-09
100,26,0,26,3.9106407602225e-07,7.6650641513591e-07,3.4714367733781e-07,2.4980615628956e-07,1.7945872227921e-07,2.3562884564181e-08,9.0864117657085e-09,1.1455220903822e-09
100,27,0,27,3.9785574529149e-07,7.8187108258533e-07,3.5443354799574e-07,2.5710217511425e-07,1.8525577473986e-07,2.4332224260241e-08,9.3836100953473e-09,1.1830074393483e-09
100,28,0,28,4.0441228897757e-07,7.9666568214714e-07,3.6142825504846e-07,2.6419750540191e-07,1.9098970325423e-07,2.5095317579488e-08,9.6785106535995e-09,1.220205825946e-09
100,29,0,29,4.1075164594309e-07,8.1092546612093e-07,3.6814384845473e-07,2.7108655496031e-07,1.966571134245e-07,2.5851959224399e-08,9.9710476187373e-09,1.257109226653e-09
100,30,0,30,4.1688968974507e-07,8.246830077121e-07,3.7459558119341e-07,2.777647636216e-07,2.0225455255091e-07,2.6601942366107e-08,1.0261155225544e-08,1.2937096364367e-09
100,31,0,31,4.2284048428578e-07,8.3796834299696e-07,3.8079788572898e-07,2.8422857657413e-07,2.0777852511142e-07,2.7345058822088e-08,1.0548767818769e-08,1.3299990747618e-09
100,32,0,32,4.2861651013041e-07,8.5080912753712e-07,3.8676437061193e-07,2.9047540566657e-07,2.1322550962917e-07,2.8081099230406e-08,1.0833819904851e-08,1.3659695913654e-09
100,33,0,33,4.3422886391398e-07,8.6323079983097e-07,3.9250783202851e-07,2.9650358155419e-07,2.18591976702e-07,2.8809853222129e-08,1.1116246202131e-08,1.401613271825e-09
100,34,0,34,4.3968743343e-07,8.7525674592775e-07,3.9804027619907e-07,3.0231229925558e-07,2.2387440792812e-07,2.9531109593687e-08,1.1395981689763e-08,1.4369222429417e-09
100,35,0,35,4.4500105096744e-07,8.8690846115532e-07,4.0337294939452e-07,3.079015593452e-07,2.2906931543393e-07,3.0244656480774e-08,1.1672961655427e-08,1.471888677951e-09
100,36,0,36,4.5017762734813e-07,8.9820570618604e-07,4.0851637305682e-07,3.1327210666819e-07,2.341732617004e-07,3.0950281535654e-08,1.1947121741987e-08,1.5065048015714e-09
100,37,0,37,4.5522426893171e-07,9.0916665560637e-07,4.1348038207535e-07,3.1842536813042e-07,2.3918287938439e-07,3.1647772109582e-08,1.221839799312e-08,1.5407628948984e-09
100,38,0,38,4.6014737965802e-07,9.1980803788376e-07,4.1827416473305e-07,3.2336339081602e-07,2.440948908454e-07,3.2336915442301e-08,1.2486726898039e-08,1.574655300149e-09
100,39,0,39,4.6495274998251e-07,9.3014526614402e-07,4.2290630319649e-07,3.2808878140997e-07,2.4890612710747e-07,3.3017498860392e-08,1.2752045435305e-08,1.6081744252586e-09
100,40,0,40,4.696456343609e-07,9.4019255956662e-07,4.273848137157e-07,3.3260464766859e-07,2.5361354601484e-07,3.3689309986467e-08,1.301429111582e-08,1.6413127483366e-09
100,41,0,41,4.742308187448e-07,9.4996305547371e-07,4.3171718592413e-07,3.3691454247719e-07,2.5821424936971e-07,3.4352136960983e-08,1.327340202501e-08,1.6740628219789e-09
100,42,0,42,4.7871267937676e-07,9.5946891238499e-07,4.3591042080938e-07,3.41022410867e-07,2.6270549887524e-07,3.5005768678535e-08,1.3529316864256e-08,1.7064172774436e-09
100,43,0,43,4.8309523401201e-07,9.6872140443294e-07,4.3997106706116e-07,3.4493254022388e-07,2.6708473074018e-07,3.5649995040269e-08,1.3781974991609e-08,1.7383688286891e-09
100,44,0,44,4.8738218655326e-07,9.7773100761508e-07,4.439052556111e-07,3.4864951381141e-07,2.7134956883541e-07,3.6284607223957e-08,1.4031316461825e-08,1.7699102762793e-09
100,45,0,45,4.9157696595856e-07,9.8650747840342e-07,4.4771873225993e-07,3.5217816764285e-07,2.7549783632483e-07,3.6909397973092e-08,1.4277282065765e-08,1.8010345111567e-09
100,46,0,46,4.9568276016941e-07,9.9505992524721e-07,4.5141688834783e-07,3.5552355066875e-07,2.7952756572195e-07,3.7524161906037e-08,1.4519813369204e-08,1.8317345182874e-09
100,47,0,47,4.9970254571097e-07,1.0033968735085e-06,4.5500478947081e-07,3.5869088819728e-07,2.8343700735146e-07,3.8128695846094e-08,1.4758852751085e-08,1.8620033801811e-09
100,48,0,48,5.03639113528e-07,1.0115263243532e-06,4.5848720227753e-07,3.6168554842624e-07,2.8722463621772e-07,3.8722799172921e-08,1.4994343441266e-08,1.8918342802885e-09
100,49,0,49,5.0749509154779e-07,1.0194558081011e-06,4.6186861940556e-07,3.6451301194177e-07,2.9088915730394e-07,3.9306274195482e-08,1.5226229557804e-08,1.92122050628e-09
100,50,0,50,5.1127296440665e-07,1.0271924325344e-06,4.6515328264093e-07,3.671788440282e-07,2.9442950935208e-07,3.9878926547622e-08,1.5454456144184e-08,1.950155453234e-09
100,51,0,51,5.1497609172315e-07,1.0347449456255e-06,4.6834604810479e-07,3.6968928208977e-07,2.9784569054604e-07,4.0440690166184e-08,1.5679007884898e-08,1.9786358204417e-09
100,52,0,52,5.1860483480663e-07,1.0421159159084e-06,4.7144911494511e-07,3.7204877842269e-07,3.011355275254e-07,4.0991143710707e-08,1.589975921343e-08,2.0066492471249e-09
100,53,0,53,5.2216216688709e-07,1.0493131050499e-06,4.7446680179835e-07,3.7426356575989e-07,3.042993726901e-07,4.1530207780519e-08,1.6116689752204e-08,2.0341920749259e-09
100,54,0,54,5.256502110958e-07,1.0563424478352e-06,4.7740259661385e-07,3.7633936003669e-07,3.0733715865272e-07,4.2057712829301e-08,1.6329750763669e-08,2.0612583281056e-09
100,55,0,55,5.2907095595988e-07,1.0632095178796e-06,4.8025977875849e-07,3.7828182172138e-07,3.1024900130935e-07,4.2573487777159e-08,1.6538892476199e-08,2.087841983088e-09
100,56,0,56,5.3242632156649e-07,1.0699196698791e-06,4.8304148209855e-07,3.8009657828802e-07,3.1303524373932e-07,4.3077367488836e-08,1.6744066223191e-08,2.1139371381893e-09
100,57,0,57,5.3571816847755e-07,1.0764780654453e-06,4.8575070911408e-07,3.8178921209627e-07,3.1569645224207e-07,4.3569193405794e-08,1.6945224512106e-08,2.1395380182696e-09
100,58,0,58,5.3894830960663e-07,1.0828897041302e-06,4.8839034694596e-07,3.8336525097737e-07,3.1823341365204e-07,4.4048814573052e-08,1.7142321195098e-08,2.1646389849811e-09
