x,y,z,id,group1,group2,group3,group4,group5,group6
19,100,0,19,8.7322876829671e+15,3.5260553752557e+16,6.6087137874801e+16,4.280602377706e+16,3.4210212495501e+16,1.0365127145198e+16
20,100,0,20,9.1078466244007e+15,3.6781967775626e+16,6.8968452507106e+16,4.4680115238803e+16,3.5710909709529e+16,1.0820871149015e+16
21,100,0,21,9.481897634652e+15,3.8296148617678e+16,7.1832311063063e+16,4.6542846300305e+16,3.7202700832511e+16,1.1273862393001e+16
22,100,0,22,9.8542619616405e+15,3.9802601760904e+16,7.4678350212818e+16,4.8393873200845e+16,3.8685264967885e+16,1.1724011868054e+16
23,100,0,23,1.0224774471246e+16,4.1300847164814e+16,7.7506157968218e+16,5.0232852362756e+16,4.0158285691442e+16,1.2171230026847e+16
24,100,0,24,1.0593281840823e+16,4.2790418720648e+16,8.0315281965876e+16,5.2059439134905e+16,4.1621450418352e+16,1.2615426981076e+16
25,100,0,25,1.0959641002151e+16,4.4270863637964e+16,8.3105236603461e+16,5.3873286975843e+16,4.3074449848852e+16,1.3056512657492e+16
26,100,0,26,1.1323717800009e+16,4.5741741792969e+16,8.5875509177e+16,5.5674046981571e+16,4.4516977494568e+16,1.3494396921573e+16
27,100,0,27,1.1685385837151e+16,4.72026250615e+16,8.8625565149728e+16,5.7461367680096e+16,4.5948729284044e+16,1.3928989676106e+16
28,100,0,28,1.2044525480438e+16,4.8653096654245e+16,9.1354852667559e+16,5.9234895029457e+16,4.7369403243735e+16,1.4360200940625e+16
29,100,0,29,1.2401023006267e+16,5.0092750467375e+16,9.4062806422308e+16,6.0994272567922e+16,4.877869924919e+16,1.4787940916514e+16
30,100,0,30,1.2754769866419e+16,5.1521190458238e+16,9.6748850951442e+16,6.2739141675125e+16,5.017631884024e+16,1.5212120041622e+16
31,100,0,31,1.3105662057972e+16,5.2938030052919e+16,9.941240345204e+16,6.4469141911199e+16,5.1561965093553e+16,1.5632649037389e+16
32,100,0,32,1.3453599583151e+16,5.4342891590189e+16,1.0205287617683e+17,6.6183911407816e+16,5.2935342545821e+16,1.6049438950853e+16
33,100,0,33,1.3798485986868e+16,5.5735405804568e+16,1.0466967847147e+17,6.7883087290711e+16,5.4296157160966e+16,1.6462401193305e+16
