x,y,z,id,group1,group2,group3,group4,group5,group6
34,100,0,34,1.4140869222675e+14,5.7117768223121e+14,1.0726683874333e+15,6.9569186163102e+14,5.5646343393538e+14,1.6872107771618e+14
35,100,0,35,1.4479365987545e+14,5.8484472192346e+14,1.0983446329781e+15,7.1236044757789e+14,5.6981121820363e+14,1.7277139919161e+14
36,100,0,36,1.4814537434321e+14,5.9837756419768e+14,1.1237662261873e+15,7.2886205848923e+14,5.830245349079e+14,1.7678077970389e+14
37,100,0,37,1.514630550229e+14,6.1177311758218e+14,1.148927878691e+15,7.451934514608e+14,5.9610081167472e+14,1.8074844516356e+14
38,100,0,38,1.547460033565e+14,6.2502860171818e+14,1.1738247992679e+15,7.613516954549e+14,6.0903773454162e+14,1.8467370020591e+14
39,100,0,39,1.5799361107183e+14,6.3814158502365e+14,1.198452776707e+15,7.773342232135e+14,6.2183328718861e+14,1.8855594005671e+14
40,100,0,40,1.6120536931537e+14,6.5111002528575e+14,1.2228082670803e+15,7.9313888679089e+14,6.3448579329286e+14,1.9239466331053e+14
41,100,0,41,1.6438087869611e+14,6.6393231330289e+14,1.2468884856332e+15,8.0876401672012e+14,6.4699396204725e+14,1.9618948564534e+14
42,100,0,42,1.6751605779128e+14,6.7659198654974e+14,1.2706626662937e+15,8.2418970665039e+14,6.5934185240511e+14,1.9993556842364e+14
43,100,0,43,1.7060942937645e+14,6.8908307416153e+14,1.2941197859536e+15,8.3940893317281e+14,6.715238911921e+14,2.0363122802228e+14
44,100,0,44,1.7366412281285e+14,7.0141817903652e+14,1.3172836840896e+15,8.5443733655994e+14,6.8355270000274e+14,2.072803108229e+14
45,100,0,45,1.7668007298892e+14,7.1359702321958e+14,1.340153930254e+15,8.6927472447786e+14,6.9542817203285e+14,2.1088279193322e+14
46,100,0,46,1.7965737185462e+14,7.2561996262483e+14,1.3627312637237e+15,8.8392165150955e+14,7.0715079517213e+14,2.1443882649702e+14
47,100,0,47,1.8259628315981e+14,7.3748804724798e+14,1.3850177110828e+15,8.9837949676524e+14,7.1872171369824e+14,2.1794876832123e+14
48,100,0,48,1.8548273137577e+14,7.491444686301e+14,1.406906639751e+15,9.1257905246468e+14,7.3008547126398e+14,2.2139577970454e+14
49,100,0,49,1.8832742545497e+14,7.606324096661e+14,1.4284791954497e+15,9.2657311691631e+14,7.4128446877933e+14,2.2479275021736e+14
50,100,0,50,1.9113250062192e+14,7.7196047329127e+14,1.4497515504752e+15,9.4037223111874e+14,7.5232718753396e+14,2.2814226099456e+14
51,100,0,51,1.9389876220412e+14,7.8313189953924e+14,1.4707298008467e+15,9.5398038102775e+14,7.6321684527969e+14,2.3144529319497e+14
52,100,0,52,1.9660928491236e+14,7.9407836139732e+14,1.4912856748499e+15,9.6731433687297e+14,7.7388678342303e+14,2.3468161453736e+14
53,100,0,53,1.9927427032942e+14,8.0484101331259e+14,1.5114964502813e+15,9.804243096956e+14,7.843772810403e+14,2.3786346260617e+14
54,100,0,54,2.0190023413801e+14,8.1544614755955e+14,1.5314114912592e+15,9.9334235539255e+14,7.9471403704741e+14,2.4099864233746e+14
55,100,0,55,2.0448119334052e+14,8.2586960474186e+14,1.5509854402934e+15,1.0060390539625e+15,8.0487350235267e+14,2.4408000878281e+14
56,100,0,56,2.070009580088e+14,8.3604600774133e+14,1.570095550667e+15,1.0184347887358e+15,8.1479195250515e+14,2.4708822866741e+14
57,100,0,57,2.094823082975e+14,8.4606731533788e+14,1.5889144688929e+15,1.0306415972556e+15,8.2455912841388e+14,2.5005054192629e+14
58,100,0,58,2.1192320854481e+14,8.5592530636407e+14,1.6074267586756e+15,1.042649468255e+15,8.341670191028e+14,2.5296451855462e+14
59,100,0,59,2.1429404217355e+14,8.6550038648822e+14,1.6254078683675e+15,1.0543127410653e+15,8.4349903608372e+14,2.5579478704106e+14
60,100,0,60,2.1662804555117e+14,8.7492674852958e+14,1.6431097456547e+15,1.0657948736585e+15,8.52686053885e+14,2.5858106201431e+14
61,100,0,61,2.1891781516606e+14,8.8417449655125e+14,1.660476257105e+15,1.0770594532249e+15,8.6169892709903e+14,2.6131450112414e+14
62,100,0,62,2.2113776097566e+14,8.9314028646023e+14,1.6773133496999e+15,1.0879806113445e+15,8.7043692996904e+14,2.6396455045457e+14
63,100,0,63,2.2332361165719e+14,9.0196839196027e+14,1.6938919143348e+15,1.0987340720666e+15,8.7904071797946e+14,2.6657388381988e+14
64,100,0,64,2.2545061403783e+14,9.1055885112191e+14,1.710024250565e+15,1.10919808372e+15,8.874128543092e+14,2.6911294380159e+14
65,100,0,65,2.2751983029041e+14,9.189159461984e+14,1.7257183884819e+15,1.1193778609477e+15,8.95557528488e+14,2.7158300537962e+14
66,100,0,66,2.2955901942792e+14,9.2715177928008e+14,1.7411848269385e+15,1.1294099425579e+15,9.0358400783821e+14,2.7401721383409e+14
67,100,0,67,2.3151107727619e+14,9.3503573179139e+14,1.755990508605e+15,1.1390134344148e+15,9.1126752287734e+14,2.7634739267381e+14
68,100,0,68,2.334322183963e+14,9.4279482432069e+14,1.7705617251688e+15,1.1484648452952e+15,9.1882934607374e+14,2.7864066092299e+14
69,100,0,69,2.3529207885677e+14,9.5030642940488e+14,1.7846682038052e+15,1.1576148134576e+15,9.2614996145671e+14,2.8086076795905e+14
70,100,0,70,2.3709335119041e+14,9.5758141737418e+14,1.7983303494264e+15,1.1664765752875e+15,9.3323996926808e+14,2.8301093147199e+14
71,100,0,71,2.3885778602784e+14,9.6470763147841e+14,1.8117131190605e+15,1.1751571263456e+15,9.4018498173641e+14,2.8511711774231e+14
72,100,0,72,2.4053768271569e+14,9.7149242115447e+14,1.8244547331364e+15,1.1834218071859e+15,9.4679724675749e+14,2.871223843726e+14
73,100,0,73,2.4219708075451e+14,9.7819442264672e+14,1.837040879993e+15,1.1915856479115e+15,9.5332882784505e+14,2.8910318039734e+14
74,100,0,74,2.4376077046104e+14,9.845098830272e+14,1.8489011384214e+15,1.199278658149e+15,9.5948369542853e+14,2.9096972504576e+14
75,100,0,75,2.4530022347775e+14,9.9072745700995e+14,1.8605775733851e+15,1.2068524353875e+15,9.6554316592669e+14,2.9280733781701e+14
76,100,0,76,2.4675850205579e+14,9.9661718616527e+14,1.8716383398451e+15,1.2140268729535e+15,9.7128312889673e+14,2.945480508504e+14
77,100,0,77,2.4817767618987e+14,1.0023489806556e+15,1.8824025141605e+15,1.2210089321336e+15,9.7686917407158e+14,2.9624208469779e+14
78,100,0,78,2.4952713370501e+14,1.0077992043132e+15,1.8926379147759e+15,1.2276480131439e+15,9.8218080981398e+14,2.9785289744053e+14
79,100,0,79,2.5082613191008e+14,1.0130456325897e+15,1.9024905969704e+15,1.2340388510218e+15,9.8729383366872e+14,2.994034772472e+14
80,100,0,80,2.5206332916289e+14,1.018042458789e+15,1.9118745378597e+15,1.2401256486355e+15,9.9216360402337e+14,3.0088028567648e+14
81,100,0,81,2.5324272208736e+14,1.0228058238614e+15,1.9208200471676e+15,1.2459280649911e+15,9.9680585121678e+14,3.0228809396922e+14
82,100,0,82,2.5436419883819e+14,1.0273352760842e+15,1.9293262765752e+15,1.2514455498408e+15,1.0012201350156e+15,3.0362676861744e+14
83,100,0,83,2.5542505436062e+14,1.0316198897786e+15,1.9373727062564e+15,1.256664792512e+15,1.0053958073558e+15,3.0489308099943e+14
84,100,0,84,2.5642733855196e+14,1.035667944121e+15,1.9449748842666e+15,1.2615958780169e+15,1.0093409368463e+15,3.0608947803385e+14
85,100,0,85,2.5737124933794e+14,1.0394802382187e+15,1.9521343100246e+15,1.2662397781892e+15,1.0130563018999e+15,3.0721619621299e+14
86,100,0,86,2.5825086738636e+14,1.0430328648967e+15,1.9588060864122e+15,1.270567371113e+15,1.016518603344e+15,3.0826616977992e+14
87,100,0,87,2.5907997574042e+14,1.0463814913847e+15,1.9650947544003e+15,1.2746464653115e+15,1.0197820923286e+15,3.0925585133375e+14
88,100,0,88,2.5983346397275e+14,1.049424700875e+15,1.9708098551914e+15,1.2783535219419e+15,1.0227479310783e+15,3.1015526725783e+14
89,100,0,89,2.6055048315721e+14,1.0523206179579e+15,1.9762483433158e+15,1.2818811566654e+15,1.025570222802e+15,3.1101115115379e+14
90,100,0,90,2.6117440046794e+14,1.0548405120864e+15,1.9809806666491e+15,1.2849507449991e+15,1.0280260531598e+15,3.1175590208569e+14
91,100,0,91,2.6178263155072e+14,1.0572970521617e+15,1.9855940120364e+15,1.2879431593873e+15,1.0304201403302e+15,3.1248192884305e+14
92,100,0,92,2.6227357335971e+14,1.0592798804612e+15,1.9893177339311e+15,1.2903585277151e+15,1.0323525605125e+15,3.1306795095149e+14
93,100,0,93,2.6276451516869e+14,1.0612627087608e+15,1.9930414558259e+15,1.2927738960429e+15,1.0342849806948e+15,3.1365397305994e+14
94,100,0,94,2.6313153012535e+14,1.0627450174456e+15,1.9958252091685e+15,1.2945795613405e+15,1.0357296067955e+15,3.1409206749439e+14
95,100,0,95,2.634861437164e+14,1.0641772391103e+15,1.9985148998165e+15,1.2963242136288e+15,1.0371254193207e+15,3.1451535879995e+14
96,100,0,96,2.6374949064166e+14,1.065240850442e+15,2.0005123456322e+15,1.2976198460458e+15,1.0381619926488e+15,3.148297079039e+14
97,100,0,97,2.6396449196319e+14,1.0661092022128e+15,2.0021430968385e+15,1.298677624515e+15,1.0390082704762e+15,3.1508634835308e+14
98,100,0,98,2.6412936211125e+14,1.066775083076e+15,2.0033936107569e+15,1.2994887641548e+15,1.0396572244127e+15,3.1528314876689e+14
99,100,0,99,2.6420155412035e+14,1.0670666533933e+15,2.0039411751574e+15,1.2998439394492e+15,1.0399413831588e+15,3.1536932214506e+14
100,100,0,100,2.6427374612945e+14,1.0673582237106e+15,2.0044887395579e+15,1.3001991147435e+15,1.0402255419048e+15,3.1545549552322e+14
101,100,0,101,2.6420155412035e+14,1.0670666533933e+15,2.0039411751574e+15,1.2998439394492e+15,1.0399413831588e+15,3.1536932214506e+14
102,100,0,102,2.6412936211125e+14,1.066775083076e+15,2.0033936107569e+15,1.2994887641548e+15,1.0396572244127e+15,3.1528314876689e+14
