x,y,z,id,group1,group2,group3,group4,group5,group6
49,100,0,49,1.8831787797273e+14,7.6059437756211e+14,1.4284095272912e+15,9.2652916928014e+14,7.4125036246368e+14,2.2478261079803e+14
50,100,0,50,1.9112335323519e+14,7.7192406980579e+14,1.4496849759968e+15,9.4033030444781e+14,7.5229470817154e+14,2.2813261690465e+14
51,100,0,51,1.9388200176215e+14,7.830647821732e+14,1.4706055969037e+15,9.539010580613e+14,7.6315440864318e+14,2.3142655520621e+14
52,100,0,52,1.9659620490579e+14,7.9402610911929e+14,1.4911894173218e+15,9.6725317479501e+14,7.7383891308134e+14,2.3466730154657e+14
53,100,0,53,1.9926603709469e+14,8.0480833778633e+14,1.5114369829608e+15,9.8038703933258e+14,7.8434855928463e+14,2.3785496399782e+14
54,100,0,54,2.0188903442073e+14,8.1540150973112e+14,1.5313296003234e+15,9.9329054641131e+14,7.946736779403e+14,2.4098661268244e+14
55,100,0,55,2.0446369276149e+14,8.2579953999532e+14,1.5508558453183e+15,1.0059563082102e+15,8.0480838036938e+14,2.4406046581462e+14
56,100,0,56,2.0699288530612e+14,8.3601401706481e+14,1.5700374729383e+15,1.0183984609446e+15,8.147640114947e+14,2.4707997141768e+14
57,100,0,57,2.0947286521982e+14,8.4602980432712e+14,1.5888460607544e+15,1.0305985793925e+15,8.2452583792366e+14,2.500406624658e+14
58,100,0,58,2.1190352796779e+14,8.5584646997014e+14,1.6072807926729e+15,1.0425561494439e+15,8.3409346945047e+14,2.5294242506129e+14
59,100,0,59,2.142880794278e+14,8.6547695084834e+14,1.625365952938e+15,1.0542869364875e+15,8.4347954419184e+14,2.5578909761968e+14
60,100,0,60,2.166180074998e+14,8.7488686903873e+14,1.643036988015e+15,1.0657490730263e+15,8.5265056262131e+14,2.5857051943324e+14
61,100,0,61,2.1890132380176e+14,8.8410856826297e+14,1.6603546197666e+15,1.0769819581471e+15,8.6163807776564e+14,2.6129626721764e+14
62,100,0,62,2.2113138483162e+14,8.9311521621427e+14,1.6772684608393e+15,1.0879529122708e+15,8.7041594423476e+14,2.6395841157262e+14
