id,temp,x,y,z
87,1303.6230214509,100,87,0
88,1303.5597143202,100,88,0
89,1303.4972765782,100,89,0
90,1303.4382544054,100,90,0
91,1303.3850504982,100,91,0
92,1303.339922963,100,92,0
93,1303.3049845547,100,93,0
94,1303.2822022925,100,94,0
95,1303.2733973663,100,95,0
96,1303.2802452001,100,96,0
97,1303.3042755802,100,97,0
98,1303.346872834,100,98,0
99,1303.4092761109,100,99,0
100,1303.4925798251,100,100,0
101,1303.5977342832,100,101,0
102,1303.7255464716,100,102,0
103,1303.8766809543,100,103,0
104,1304.0516608472,100,104,0
105,1304.2508688609,100,105,0
106,1304.4745484258,100,106,0
107,1304.7228049119,100,107,0
108,1304.9956069374,100,108,0
109,1305.292787748,100,109,0
110,1305.6140466488,100,110,0
111,1305.9589504791,100,111,0
112,1306.3269351291,100,112,0
113,1306.7173070948,100,113,0
114,1307.1292450639,100,114,0
115,1307.5618015181,100,115,0
116,1308.0139043418,100,116,0
117,1308.4843584249,100,117,0
118,1308.9718472541,100,118,0
119,1309.4749344792,100,119,0
120,1309.9920654427,100,120,0
121,1310.5215686577,100,121,0
122,1311.0616572224,100,122,0
123,1311.6104301545,100,123,0
124,1312.1658736344,100,124,0
125,1312.7258621381,100,125,0
126,1313.2881594451,100,126,0
127,1313.8504195037,100,127,0
128,1314.4101871388,100,128,0
129,1314.9648985821,100,129,0
130,1315.5118818094,100,130,0
131,1316.0483566665,100,131,0
132,1316.571434767,100,132,0
133,1317.0781191448,100,133,0
134,1317.5653036445,100,134,0
135,1318.0297720355,100,135,0
136,1318.4681968345,100,136,0
137,1318.8771378222,100,137,0
138,1319.2530402456,100,138,0
139,1319.5922326913,100,139,0
140,1319.890924625,100,140,0
141,1320.1452035833,100,141,0
142,1320.3510320073,100,142,0
143,1320.5042436871,100,143,0
144,1320.6005397666,100,144,0
145,1320.63548417,100,145,0
146,1320.604498236,100,146,0
147,1320.5028542353,100,147,0
148,1320.3256674747,100,148,0
149,1320.0678878803,100,149,0
150,1319.7242956329,100,150,0
151,1319.2895083804,100,151,0
152,1318.7579978288,100,152,0
153,1318.1240926977,100,153,0
154,1317.381948396,100,154,0
155,1316.5255038585,100,155,0
156,1315.54846435,100,156,0
157,1314.4443138373,100,157,0
158,1313.2063308907,100,158,0
159,1311.8275930814,100,159,0
160,1310.3009730992,100,160,0
161,1308.6191333637,100,161,0
162,1306.7745224216,100,162,0
163,1304.7593737934,100,163,0
164,1302.5657071055,100,164,0
165,1300.1853312944,100,165,0
166,1297.6098497763,100,166,0
167,1294.8306677583,100,167,0
168,1291.8390005626,100,168,0
169,1288.6258876607,100,169,0
170,1285.1821953626,100,170,0
171,1281.498659453,100,171,0
172,1277.5658255079,100,172,0
173,1273.37424049,100,173,0
174,1268.9140720983,100,174,0
175,1264.1759378075,100,175,0
176,1259.1492859958,100,176,0
177,1253.8254373221,100,177,0
178,1248.1920553276,100,178,0
179,1242.2426354064,100,179,0
180,1235.9604259541,100,180,0
181,1229.3442031465,100,181,0
182,1222.3671561389,100,182,0
183,1215.0392484073,100,183,0
184,1207.3125735981,100,184,0
185,1199.2184638192,100,185,0
186,1190.6674980012,100,186,0
187,1181.7283966041,100,187,0
188,1172.233111355,100,188,0
189,1162.3108278798,100,189,0
190,1151.6461672724,100,190,0
191,1140.4594929975,100,191,0
192,1128.1553221151,100,192,0
193,1115.0872003713,100,193,0
194,1100.1107272481,100,194,0
195,1083.8025095391,100,195,0
196,1063.8909422585,100,196,0
197,1041.5238607372,100,197,0
198,1011.637062036,100,198,0
199,977.29167476486,100,199,0
200,912.2522031577,100,200,0
