"p","u:0","u:1","u:2","ObjectId","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-351.246035,-10.59426673,-3.326581275,0,0,1,119,119,100,0
-351.2417112,-10.57779942,-3.573318937,0,0,1,120,120,100,0
-351.2373239,-10.55737902,-3.819524866,0,0,1,121,121,100,0
-351.2328763,-10.53293041,-4.065002807,0,0,1,122,122,100,0
-351.2283719,-10.50437876,-4.309549127,0,0,1,123,123,100,0
-351.2238142,-10.47164982,-4.552952704,0,0,1,124,124,100,0
-351.2192072,-10.43467017,-4.79499483,0,0,1,125,125,100,0
-351.214555,-10.39336751,-5.035449143,0,0,1,126,126,100,0
-351.2098621,-10.34767101,-5.274081563,0,0,1,127,127,100,0
-351.205133,-10.29751158,-5.510650267,0,0,1,128,128,100,0
-351.2003727,-10.24282225,-5.744905678,0,0,1,129,129,100,0
-351.1955863,-10.18353851,-5.976590483,0,0,1,130,130,100,0
-351.1907792,-10.11959876,-6.205439683,0,0,1,131,131,100,0
-351.185957,-10.05094462,-6.431180668,0,0,1,132,132,100,0
-351.1811256,-9.977521429,-6.653533328,0,0,1,133,133,100,0
-351.176291,-9.899278639,-6.8722102,0,0,1,134,134,100,0
-351.1714595,-9.816170299,-7.086916648,0,0,1,135,135,100,0
-351.1666378,-9.728155514,-7.297351086,0,0,1,136,136,100,0
-351.1618324,-9.635198939,-7.503205242,0,0,1,137,137,100,0
-351.1570505,-9.537271281,-7.70416446,0,0,1,138,138,100,0
-351.1522992,-9.434349813,-7.899908054,0,0,1,139,139,100,0
-351.1475857,-9.326418901,-8.090109707,0,0,1,140,140,100,0
-351.1429176,-9.213470539,-8.274437912,0,0,1,141,141,100,0
-351.1383026,-9.095504889,-8.452556475,0,0,1,142,142,100,0
-351.1337484,-8.972530833,-8.624125057,0,0,1,143,143,100,0
-351.129263,-8.844566517,-8.788799777,0,0,1,144,144,100,0
-351.1248544,-8.711639899,-8.946233862,0,0,1,145,145,100,0
-351.1205307,-8.573789298,-9.096078358,0,0,1,146,146,100,0
-351.1163002,-8.431063929,-9.237982885,0,0,1,147,147,100,0
-351.112171,-8.283524433,-9.371596452,0,0,1,148,148,100,0
-351.1081516,-8.13124339,-9.496568324,0,0,1,149,149,100,0
-351.10425,-7.974305816,-9.612548941,0,0,1,150,150,100,0
-351.1004747,-7.812809642,-9.719190884,0,0,1,151,151,100,0
-351.0968337,-7.646866162,-9.816149891,0,0,1,152,152,100,0
-351.0933353,-7.476600457,-9.903085925,0,0,1,153,153,100,0
-351.0899875,-7.302151784,-9.979664275,0,0,1,154,154,100,0
