group1,group2,group3,group4,group5,group6,id,x,y,z
1.3105648295014e+14,5.293797923654e+14,9.9412324015362e+14,6.4469101203099e+14,5.1561940144155e+14,1.5632642786062e+14,31,31,100,0
1.3453586430433e+14,5.4342843305212e+14,1.0205280151055e+15,6.6183873526836e+14,5.293531966693e+14,1.6049433294738e+14,32,32,100,0
1.3798473507541e+14,5.5735360303272e+14,1.0466960902745e+15,6.7883052496428e+14,5.42961365357e+14,1.6462396183651e+14,33,33,100,0
1.4140216217432e+14,5.711516888014e+14,1.0726215472738e+15,6.9566274666026e+14,5.5644098144089e+14,1.6871443264335e+14,34,34,100,0
1.4478724060953e+14,5.848191516805e+14,1.098298470609e+15,7.1233176463146e+14,5.6978913354197e+14,1.7276486784666e+14,35,35,100,0
1.4813909061284e+14,5.9835252386344e+14,1.1237209601124e+15,7.2883394624987e+14,5.83002925598e+14,1.7677439464067e+14,36,36,100,0
1.5145685519665e+14,6.1174840484642e+14,1.1488831414736e+15,7.4516566622732e+14,5.9607947771101e+14,1.8074214528738e+14,37,37,100,0
1.5473969808307e+14,6.2500345823251e+14,1.1737791751534e+15,7.6132331069193e+14,6.0901592716662e+14,1.8466725747206e+14,38,38,100,0
1.5798680195339e+14,6.3811440888854e+14,1.1984032639299e+15,7.773032810673e+14,6.2180942958675e+14,1.8854887466304e+14,39,39,100,0
1.6119736697361e+14,6.5107804043326e+14,1.2227496592901e+15,7.9310199773576e+14,6.3445716018221e+14,1.9238614647594e+14,40,40,100,0
1.6437060955716e+14,6.6389119303446e+14,1.2468126668487e+15,8.0871590347624e+14,6.4695631507622e+14,1.9617822904205e+14,41,41,100,0
1.6750576133182e+14,6.7655076149182e+14,1.2705866509525e+15,8.2414146667492e+14,6.5930411267421e+14,1.9992428537988e+14,42,42,100,0
1.7060206828182e+14,6.8905369358284e+14,1.2940660386e+15,8.3937518431141e+14,6.7149779505913e+14,2.036234857684e+14,43,43,100,0
1.7365879004018e+14,7.0139698864946e+14,1.3172453227928e+15,8.5441358472789e+14,6.8353462939499e+14,2.072750081209e+14,44,44,100,0
1.7667519930991e+14,7.1357769640377e+14,1.3401190654125e+15,8.6925323019074e+14,6.9541190932443e+14,2.1087803835771e+14,45,45,100,0
1.7965058139537e+14,7.2559291593234e+14,1.3626818997054e+15,8.8389071925633e+14,7.0712695634884e+14,2.144317707764e+14,46,46,100,0
1.8258423382766e+14,7.3743979487953e+14,1.3849285324421e+15,8.9832268895359e+14,7.1867712118209e+14,2.1793540841814e+14,47,47,100,0
1.8547546607032e+14,7.4911552879184e+14,1.4068537458113e+15,9.1254581679646e+14,7.3005978507057e+14,2.2138816342884e+14,48,48,100,0
1.8832359929333e+14,7.6061736060595e+14,1.4284523990945e+15,9.2655682263954e+14,7.4127236107464e+14,2.2478925741395e+14,49,49,100,0
1.9112796620499e+14,7.7194258026505e+14,1.4497194301616e+15,9.4035247038997e+14,7.5231229530741e+14,2.2813792178593e+14,50,50,100,0
1.93887910933e+14,7.830885244486e+14,1.4706498568222e+15,9.5392956958796e+14,7.631770681285e+14,2.3143339810359e+14,51,51,100,0
1.9660278894697e+14,7.9405257640258e+14,1.491238778058e+15,9.6728497686812e+14,7.7386419529122e+14,2.3467493840249e+14,52,52,100,0
1.9927196701577e+14,8.0483216585773e+14,1.5114813751612e+15,9.8041559731268e+14,7.8437122904255e+14,2.37861805516e+14,53,53,100,0
2.0189482319418e+14,8.1542476902499e+14,1.5313729127953e+15,9.9331838570709e+14,7.9469575917593e+14,2.4099327338641e+14,54,54,100,0
2.0447074683391e+14,8.2582790865798e+14,1.5509087399951e+15,1.0059903477076e+15,8.048354140375e+14,2.4406862736603e+14,55,55,100,0
2.0699913861482e+14,8.3603915417343e+14,1.5700842911166e+15,1.0184285409295e+15,8.147878614867e+14,2.4708716450789e+14,56,56,100,0
2.0947941059287e+14,8.4605612182153e+14,1.5888950867475e+15,1.0306300759648e+15,8.2455080981257e+14,2.5004819384607e+14,57,57,100,0
2.1191098626166e+14,8.558764748987e+14,1.6073367345854e+15,1.0425921173346e+15,8.3412200860731e+14,2.5295103666563e+14,58,58,100,0
2.1429330062494e+14,8.6549792399637e+14,1.6254049302896e+15,1.0543118843857e+15,8.4349924959881e+14,2.5579502676223e+14,59,59,100,0
2.1662580027801e+14,8.7491822727976e+14,1.6430954583119e+15,1.0657866521338e+15,8.5268036744381e+14,2.5857951069153e+14,60,60,100,0
2.1890794349589e+14,8.8413519079145e+14,1.6604041927081e+15,1.0770137520616e+15,8.6166324048366e+14,2.6130384800863e+14,61,61,100,0
2.211392003269e+14,8.9314666877517e+14,1.6773270979349e+15,1.0879905728736e+15,8.7044579146447e+14,2.6396741149766e+14,62,62,100,0
2.2331905268997e+14,9.0195056401552e+14,1.6938602296322e+15,1.098714561214e+15,8.790259882234e+14,2.6656958739192e+14,63,63,100,0
2.2544699447489e+14,9.1054482819004e+14,1.7099997353926e+15,1.1091832223492e+15,8.8740184434291e+14,2.6910977558467e+14,64,64,100,0
2.275225316441e+14,9.1892746223042e+14,1.7257418555188e+15,1.1193941208193e+15,8.9557141977469e+14,2.7158738983103e+14,65,65,100,0
2.2954518233551e+14,9.2709651668985e+14,1.7410829237691e+15,1.1293448810607e+15,9.0353282143477e+14,2.7400185794119e+14,66,66,100,0
2.3151447696554e+14,9.3505009211411e+14,1.7560193680911e+15,1.139033188002e+15,9.1128420377142e+14,2.763526219652e+14,67,67,100,0
2.3342995833162e+14,9.4278633941415e+14,1.7705477113428e+15,1.1484567876356e+15,9.1882376930724e+14,2.7863913836976e+14,68,68,100,0
2.3529118171397e+14,9.5030346023817e+14,1.7846645720016e+15,1.1576134875659e+15,9.2614976915678e+14,2.808608782072e+14,69,69,100,0
2.370977149759e+14,9.5759970734149e+14,1.7983666648597e+15,1.1665011575367e+15,9.3326050352082e+14,2.8301732727701e+14,70,70,100,0
2.3884913866259e+14,9.6467338495277e+14,1.8116508017062e+15,1.1751177299378e+15,9.4015432215861e+14,2.8510798628007e+14,71,71,100,0
2.4054504609773e+14,9.7152284913522e+14,1.8245138919943e+15,1.1834612002925e+15,9.4682962483892e+14,2.871323709661e+14,72,72,100,0
2.4218504347809e+14,9.7814650814165e+14,1.8369529434941e+15,1.1915296277264e+15,9.5328486177096e+14,2.8909001227424e+14,73,73,100,0
2.4376874996558e+14,9.8454282276244e+14,1.8489650629285e+15,1.1993211354192e+15,9.5951853401597e+14,2.9098045646736e+14,74,74,100,0
2.4529579777674e+14,9.9071030666539e+14,1.8605474565937e+15,1.2068339110385e+15,9.6552919388024e+14,2.9280326525999e+14,75,75,100,0
2.4676583226953e+14,9.9664752672694e+14,1.8716974309615e+15,1.2140662071573e+15,9.7131544529031e+14,2.9455801594036e+14,76,76,100,0
2.4817851202717e+14,1.0023531033538e+15,1.8824123932644e+15,1.2210163416549e+15,9.7687594415084e+14,2.9624430148655e+14,77,77,100,0
2.4953350893913e+14,1.0078257107949e+15,1.892689852062e+15,1.2276826981021e+15,9.8220939868587e+14,2.9786173067707e+14,78,78,100,0
2.5083050827904e+14,1.0130640774423e+15,1.9025274177874e+15,1.2340637261303e+15,9.8731456976381e+14,2.9940992819588e+14,79,79,100,0
2.5206920877952e+14,1.0180669861218e+15,1.9119228032756e+15,1.2401579417849e+15,9.921902712067e+14,3.0088853473222e+14,80,80,100,0
2.5324932270385e+14,1.022833274372e+15,1.9208738242697e+15,1.2459639278632e+15,9.96835370084e+14,3.0229720707513e+14,81,81,100,0
2.5437057591445e+14,1.0273618347113e+15,1.929378399908e+15,1.2514803342369e+15,1.0012487869914e+15,3.0363561820304e+14,82,82,100,0
2.5543270793814e+14,1.0316516148941e+15,1.9374345531884e+15,1.2567058781588e+15,1.0054294963147e+15,3.0490345736837e+14,83,83,100,0
2.5643547202815e+14,1.0357016181535e+15,1.9450404114124e+15,1.2616393445545e+15,1.0093765264794e+15,3.061004301773e+14,84,84,100,0
2.5737863522279e+14,1.0395109034331e+15,1.9521942066063e+15,1.2662795862985e+15,1.013088960186e+15,3.0722625866483e+14,85,85,100,0
2.5826197840094e+14,1.0430785856048e+15,1.95889427592e+15,1.2706255244749e+15,1.0165659346305e+15,3.0828068136519e+14,86,86,100,0
2.5908529633408e+14,1.0464038356753e+15,1.9651390620038e+15,1.2746761486221e+15,1.0198066417123e+15,3.0926345337769e+14,87,87,100,0
2.5984839773513e+14,1.0494858809787e+15,1.9709271133607e+15,1.2784305169633e+15,1.0228103282267e+15,3.1017434642798e+14,88,88,100,0
2.6055110530384e+14,1.0523240053569e+15,1.9762570846772e+15,1.28188775662e+15,1.0255762960451e+15,3.1101314892503e+14,89,89,100,0
2.6119325576892e+14,1.0549175493267e+15,1.9811277371292e+15,1.2850470638104e+15,1.0281039022807e+15,3.1177966601353e+14,90,90,100,0
2.6177469992676e+14,1.0572659102336e+15,1.9855379386643e+15,1.2879077040328e+15,1.0303925594408e+15,3.124737196221e+14,91,91,100,0
